Αγαυη	Ἀγαύη
μειλιχιος	μειλίχιος
μελαθρον	μέλαθρον
μελεος	μέλεος
μενεπτολεμος	μενεπτόλεμος
μενοινη	μενοινή
μηλον	μῆλον
μητηρ	μήτηρ
μητις	μῆτις
μιμηλος	μιμηλός
μιμνησκω	μιμνῄσκω
μινυνθαδιος	μινυνθαδῖος
μορφη	μορφή
μυκημα	μύκημα
ναυμαχος	ναυμάχος
ναυς	ναῦς
νεατος	νεάτος
νεβρις	νεβρίς
νεβρος	νεβρός
νεικος	νεῖκος
νεμεσις	νέμεσις
νευμα	νεῦμα
νηιαδες	νηϊάδες
νηιας	νηιάς
νηις	νῆις
νηπενθης	νηπενθής
νηπιαχος	νηπιάχος
νοημα	νόημα
νομιος	νόμιος
νυμφη	νύμφη
νυμφιδιος	νυμφιδίος
νυν	νῦν
νυχιος	νύχιος
νωθρος	νωθρός
νωτον	νῶτον
ξανθος	ξανθός
οδʼ	ὅδʼ
οδυνη	ὀδύνη
οιδμα	οἶδμα
οιζυν	ὀϊζύν
οιζυρος	ὀϊζυρός
οιζυς	ὀϊζύς
οινας	οἰνάς
οιομαι	οἴομαι
οις	οἶς
οιστευω	ὀϊστεύω
οιστοις	ὀϊστοῖς
οιστος	ὀϊστός
οιω	οἴω
ολεω	ὄλεω
ολκος	ὁλκός
ομιχλη	ὁμίχλη
ομοιος	ὅμοιος
ομφη	ὀμφή
ονειρος	ὄνειρος
οξυτενης	ὀξυτενής
οπαζω	ὀπάζω
οπιπευτηρ	ὀπιπευτήρ
οπις	ὄπις
οπλος	ὁπλός
οπωρα	ὀπώρα
ορμος	ὅρμος
ορπηξ	ὅρπηξ
οτε	ὅτε
ουθʼ	οὔθʼ
ουρανιος	οὐράνιος
ουτʼ	οὔτʼ
παντοιος	παντοῖος
παρʼ	πάρʼ
παραισσω	παραΐσσω
παρειαιμι	παρειαίμι
παρθενικη	παρθενική
πασσυδιη	πασσυδίη
παστος	παστός
παταγος	πάταγος
πατηρ	πατήρ
παυρος	παῦρος
πεδιλον	πέδιλον
πεισμα	πεῖσμα
πελαγος	πέλαγος
πελεια	πέλεια
πελωριος	πελώριος
πετρα	πέτρα
πηκτις	πηκτίς
πημα	πῆμα
πιεζω	πιέζω
πινυτος	πινυτός
πλοκαμος	πλόκαμος
ποθεν	πόθεν
ποιη	ποίη
ποιητος	ποιητός
πολεμιζω	πολεμίζω
πολεμος	πόλεμος
πολις	πόλις
πολυπιδαξ	πολυπίδαξ
ποντοπορος	ποντόπορος
προιημι	προΐημι
προτερος	πρότερος
προχοη	προχοή
πτερον	πτερόν
πυρσος	πυρσός
ριπτω	ῥίπτω
ροθιον	ῥοθίον
ροθιος	ῥόθιος
ροπαλον	ῥόπαλον
σειρη	σειρή
σκηπτρον	σκῆπτρον
σκοπελος	σκόπελος
σπειρω	σπείρω
σπευδω	σπεύδω
σταδιος	στάδιος
στεινος	στεῖνος
συβωτης	συβώτης
συν	σύν
συριγξ	σύριγξ
συριζω	συρίζω
συς	σύς
ταμων	ταμών
ταυρος	ταῦρος
ταυροφυης	ταυροφυής
ταυρωπις	ταυρώπις
τειχος	τεῖχος
τελεσσιγονος	τελεσσίγονος
τερπωλης	τερπωλῆς
τευχω	τεύχω
τις	τίς
τιω	τίω
τοιχος	τοῖχος
τοσσατιος	τοσσάτιος
τοτε	τότε
τουνεκʼ	τοὔνεκʼ
τουνεκα	τοὔνεκα
τριαινα	τριαῖνα
τριαινη	τριαίνη
τρυφαλεια	τρυφάλεια
τυρος	τυρός
υιωνος	υἱωνός
υλη	ὕλη
υμεναιος	ὑμέναιος
υποβρυχιος	ὑποβρύχιος
υπωροφιος	ὑπωρόφιος
υστατιος	ὑστάτιος
υψιτενης	ὑψιτενής
φαιδρος	φαιδρός
φαρμακον	φάρμακον
φαρος	φᾶρος
φατιζω	φάτιζω
